Customer_ID,Age,Gender,Marital_Status,Location,Urbanization_Level,Annual_Income,Property_Value,Premium_Amount,Policy_Term,Claim_Frequency,Claim_Amount_Last,Maintenance_Level,Flood_Risk_Index,Crime_Rate_Index,Building_Age,Customer_Satisfaction,Has_Security_System,Risk_Category,Expected_Claim_Cost,Construction_Type,Policy_Tenure,Payment_Method,Credit_Score,Fire_Risk_Score
CUST100000,59,Female,Divorced,Sabah,Rural,36070.57,100000,938.81,10,2,1731.54,Moderate,30.53,65.38,31,4,Yes,0,2368.13,Brick Wall,3,Online Payment,526,37.07
CUST100001,72,Male,Married,Sarawak,Urban,31683.85,105785.44,880.17,15,1,1739.83,High,17.25,77.28,27,4,No,1,2133.5,Brick Wall,15,Cash,643,67.66
CUST100002,49,Male,Single,Sarawak,Rural,,100000,885.48,15,2,3884.38,High,18.64,40.63,26,4,Yes,0,7122.36,Brick Wall,1,Mortgage,715,51.84
CUST100003,35,Female,Divorced,Selangor,Rural,38979.87,171027.37,1561.45,15,4,2113.1,Moderate,30.68,19.83,14,3,Yes,1,10390.4,Lightweight Concrete,15,Financing Scheme,637,35.79
CUST100004,63,Male,Married,Sabah,Rural,,100000,841.02,5,4,2695.98,Low,22.72,45.35,2,3,Yes,1,10332.28,Brick Wall,1,Cash,579,23.47
CUST100005,28,Female,Married,Kedah,Suburban,29963.36,134661.35,627.93,5,2,781.49,Moderate,54.35,47.14,6,2,No,0,2094.19,Reinforced Concrete,5,Bank Loan,630,22.19
CUST100006,41,Female,Married,Penang,Urban,46869.59,151186.45,562.43,5,3,1091.82,Moderate,10.27,22.72,26,1,Yes,0,4281.78,Reinforced Concrete,3,Cash,648,10.97
CUST100007,59,Male,Single,Johor,Urban,54308.72,176145.83,1158.01,5,2,36.92,High,41.32,37.27,34,2,Yes,0,92.81,Steel Frame,5,Online Payment,476,42.45
CUST100008,39,Male,Single,Selangor,Suburban,40110.97,190284.2,1430.28,15,2,164.83,High,11.33,51.81,20,4,Yes,0,407,Brick Wall,1,Mortgage,637,40.45
CUST100009,43,Female,Married,Kuala Lumpur,Rural,25135.27,175713.73,894.83,10,2,972.66,High,26.47,37.19,41,4,Yes,0,2191.09,Steel Frame,1,Financing Scheme,529,43.99
CUST100010,31,Female,Single,Johor,Urban,56116.75,135732.58,1192.64,15,1,470.77,Moderate,30.2,44.92,40,3,No,0,610.43,Reinforced Concrete,10,Mortgage,709,10.44
CUST100011,31,Male,Married,Penang,Suburban,20814.99,327194.24,3168.72,5,1,3352.86,Low,28.09,44.67,36,4,No,1,4295.67,Brick Wall,5,Bank Loan,510,78.08
CUST100012,44,Female,Married,Perak,Rural,52511.45,100000,655.52,10,2,2257.03,High,3.6,20.06,3,3,No,0,3477.26,Reinforced Concrete,3,Financing Scheme,741,43.05
CUST100013,73,Male,Married,Sarawak,Rural,20000,101725.11,575.03,15,5,7033.59,Low,28.84,28.25,35,,Yes,1,40707.25,Steel Frame,10,Financing Scheme,613,20.87
CUST100014,56,Male,Married,Negeri Sembilan,Rural,30418.48,173068.12,1513.15,20,3,4361.34,Low,31.2,49.18,36,1,No,1,16584.72,Reinforced Concrete,5,Online Payment,601,21.55
CUST100015,60,Female,Married,Kedah,Rural,28015.85,144597.79,317.27,20,4,7602.84,High,51.08,17.93,27,1,Yes,1,36379.64,Timber Structure,5,Cash,677,24.1
CUST100016,44,Female,Married,Sarawak,Suburban,,100000,303.21,15,4,909.13,Low,43.93,7.64,8,1,No,1,2231.48,Timber Structure,10,Financing Scheme,572,15.29
CUST100017,23,Male,Married,Perak,Suburban,20000,100000,876.53,15,4,1324.76,High,41.78,6,29,1,No,1,5797.18,Brick Wall,3,Financing Scheme,675,24.44
CUST100018,42,Female,Single,Penang,Suburban,54461.01,106251.56,834.74,20,0,932.42,Low,11.78,46.67,32,5,Yes,1,0,Steel Frame,10,Cash,584,33.48
CUST100019,73,Female,Single,Kuala Lumpur,Urban,54110.5,307455.63,1638.46,15,3,6665.53,Moderate,8.61,18.56,20,2,Yes,0,24376.76,Steel Frame,15,Mortgage,600,12.09
CUST100020,22,Male,Married,Kedah,Suburban,20000,101182.15,921.85,20,1,1030.7,Moderate,3.25,37.48,10,3,Yes,0,1229.02,Brick Wall,10,,686,41.35
CUST100021,44,Male,Single,Kedah,Rural,20000,,622.77,5,4,248.32,Moderate,5.22,25.59,18,2,No,1,682.42,Brick Wall,1,Cash,548,19.86
CUST100022,64,Female,Single,Penang,Urban,,222898.61,1576.06,20,1,576.72,High,29.4,12.67,33,2,Yes,0,500.05,Lightweight Concrete,1,Cash,536,
CUST100023,50,Male,Single,Johor,Rural,20000,446789.72,3160.89,10,1,1106.15,High,22.59,48.07,3,5,No,0,1460.61,Steel Frame,10,Financing Scheme,672,23.71
CUST100024,58,Male,Married,Pahang,Urban,63062.2,190351.12,661.4,5,1,1847.61,Low,37.94,8.21,26,5,Yes,1,1822.8,Timber Structure,5,Mortgage,648,27.11
CUST100025,22,Male,Divorced,Sarawak,Rural,,100000,427.88,5,5,1925.12,Moderate,23.64,27.01,19,1,Yes,1,9678.44,Reinforced Concrete,5,Cash,665,38.44
CUST100026,41,Female,Single,Johor,Urban,51176.06,100000,932.81,15,1,2844.12,High,20.6,31.16,39,1,No,0,2170.3,Timber Structure,10,Financing Scheme,679,19.99
CUST100027,53,Female,Married,Selangor,Rural,32021.18,138950.21,481.78,10,2,2087.49,Moderate,18.36,63.99,42,4,No,0,3098.99,Steel Frame,1,Mortgage,655,33.49
CUST100028,32,Female,Married,Penang,Urban,38218.06,184016.12,623.56,20,1,1352.71,Moderate,13.09,54.63,39,4,No,0,884.07,Reinforced Concrete,5,Financing Scheme,705,39.36
CUST100029,42,Male,Single,Selangor,Urban,66402.76,100000,583.69,5,0,61.27,Moderate,14.12,22.63,2,5,Yes,0,0,Steel Frame,5,Cash,659,
CUST100030,64,Female,Divorced,Kuala Lumpur,Suburban,93716.15,143513.54,392.88,10,1,2375.07,Moderate,36.67,51.41,22,1,Yes,0,1758.06,Brick Wall,10,Mortgage,469,51.83
CUST100031,45,Female,Married,Johor,Urban,32308.43,226612.74,2075.1,10,4,178.66,Low,21.57,71.86,26,3,Yes,1,436.8,Timber Structure,5,Bank Loan,493,15.68
CUST100032,69,Female,Married,Negeri Sembilan,Rural,20000,100000,280.12,10,1,1265.28,Low,34.23,24.56,23,5,No,1,1765.83,Reinforced Concrete,3,Financing Scheme,824,21.83
CUST100033,47,Female,Married,Pahang,Rural,43722.26,184912.3,1281.9,10,4,4534.36,Low,9.93,56.99,33,4,Yes,1,17192.09,,10,Online Payment,650,66.4
CUST100034,62,Male,Single,Penang,Urban,20000,100000,471.83,15,1,1817.04,Moderate,10.46,43.94,28,2,Yes,0,1683.68,Timber Structure,15,Bank Loan,736,66.71
CUST100035,48,Female,Married,Penang,Urban,26527.13,273967.01,2310.69,5,3,443.7,High,41.26,68.7,31,,Yes,0,1423.36,Lightweight Concrete,5,Mortgage,619,39.47
CUST100036,36,Male,Single,Pahang,Suburban,23398.09,231326.26,1554.16,5,2,3300.08,High,19.42,28.58,3,3,No,0,8475.88,Steel Frame,1,Cash,645,17.63
CUST100037,35,Male,Married,Kedah,Suburban,20000,236307.15,1206.69,5,4,714.52,Moderate,11.85,23.37,42,,Yes,1,3231.53,Reinforced Concrete,5,,609,16.38
CUST100038,67,Male,Married,Perak,Rural,44926.59,100000,987.1,15,0,1722.05,Moderate,21.44,42.69,3,4,Yes,0,0,Steel Frame,10,Cash,850,51.32
CUST100039,71,Male,Married,Kuala Lumpur,Rural,52067.15,186665.53,472.24,10,1,2020.37,Moderate,56.59,15.09,2,3,No,0,2416.35,Steel Frame,10,Financing Scheme,673,24.4
CUST100040,64,Male,Single,Johor,Urban,,139796.7,925.77,10,4,2626.99,Moderate,14.41,66.88,47,2,No,1,7481.69,Lightweight Concrete,10,Financing Scheme,602,13.6
CUST100041,72,Female,Married,Penang,Urban,74279.35,100000,991.65,10,5,134.38,High,20.72,48.97,29,1,Yes,1,863.52,Lightweight Concrete,3,Financing Scheme,501,20.31
CUST100042,23,Male,Married,Penang,Urban,80173.12,158797.91,1195.37,15,2,3851.96,High,8.7,36.37,46,5,No,0,9139.73,Lightweight Concrete,10,Financing Scheme,828,14.21
CUST100043,57,Female,Married,Pahang,Urban,27609.9,103519.06,819.68,5,5,241.74,Low,33,47.12,31,4,No,1,1631.22,Lightweight Concrete,5,Mortgage,635,65.56
CUST100044,71,Male,Married,Negeri Sembilan,Suburban,26684.52,232121.15,523.83,5,1,198.61,High,41.4,59.86,15,4,No,0,258.21,Brick Wall,5,Mortgage,717,20.77
CUST100045,27,Male,Married,Pahang,Suburban,72281.02,189315.68,410.99,15,2,1220.87,Low,38.69,35.43,10,3,No,1,2271.65,Brick Wall,3,Bank Loan,727,36.36
CUST100046,41,Female,Divorced,Pahang,Suburban,36171.21,100000,228.89,20,0,931.01,Moderate,43.14,53.7,43,5,Yes,0,0,Brick Wall,1,Financing Scheme,608,11.45
CUST100047,29,Male,Married,Sarawak,Rural,24453.3,100000,993.38,10,4,112.32,Low,3.8,60.36,22,1,No,1,560.63,Steel Frame,10,Bank Loan,711,34.89
CUST100048,59,Male,Married,Johor,Suburban,69424.64,,1429.27,10,0,363.05,Moderate,20.13,53.6,34,1,Yes,0,0,Steel Frame,3,Bank Loan,,35.16
CUST100049,38,Female,Married,Kedah,Urban,33280.44,156968.03,733.99,10,2,1156.83,Low,17,57.41,37,4,Yes,1,2674.43,Reinforced Concrete,1,Mortgage,561,29.96
CUST100050,24,Male,Married,Pahang,Rural,20000,188436.09,815.52,20,3,3533.03,Moderate,13.4,67.01,42,4,Yes,0,7771.66,Steel Frame,15,Online Payment,755,77
CUST100051,45,Male,Single,Negeri Sembilan,Rural,28237.04,160928.62,509.77,10,3,258.63,Low,8.25,25.43,40,1,No,1,797.2,Lightweight Concrete,10,Financing Scheme,636,53.15
CUST100052,34,Male,Married,Kedah,Rural,34772.04,116893.79,541.58,10,5,220.81,High,8.09,65.58,9,2,Yes,1,709.79,Lightweight Concrete,5,Financing Scheme,697,73.95
CUST100053,70,Female,Married,Sabah,Suburban,20000,128581.09,637.92,10,4,3267.76,Low,14.94,12.76,14,4,No,1,12139.33,Reinforced Concrete,10,Mortgage,,
CUST100054,29,Female,Single,Johor,Suburban,33017.32,100000,798.63,20,1,1355.79,Low,40.08,36.73,20,5,No,1,1494.74,Timber Structure,10,Financing Scheme,707,22.57
CUST100055,46,Female,Married,Penang,Suburban,70036.88,335360,2994.88,15,5,893.35,Moderate,20.22,22.42,35,3,Yes,1,4922.31,Reinforced Concrete,10,Financing Scheme,510,68.67
